
	ON SECURITY SYSTEM WINDOW 
		Mon Sep 03 23:16:41 2018

	ON HISTORY WINDOW 
		Mon Sep 03 23:16:42 2018

	ON THE MAIN SCRREN
		Mon Sep 03 23:16:49 2018

	ON THE MAIN SCRREN
		Mon Sep 03 23:18:35 2018

	ON THE ADMIN PORTAL
		Mon Sep 03 23:18:36 2018

	LOGINED IN THE ADMIN PORTAL
		Mon Sep 03 23:18:42 2018

	ON BANK ACCOUNT WINDOW 
		Mon Sep 03 23:18:45 2018

	ON TRANSACTION DETAIL WINDOW 
		Mon Sep 03 23:18:48 2018

	ON BANK ACCOUNT WINDOW 
		Mon Sep 03 23:18:50 2018

	ON MODIFICATION OF FILES WINDOW 
		Mon Sep 03 23:18:53 2018

	ON ERASE TRANSACTION FILE WINDOW 
		Mon Sep 03 23:18:55 2018

	ON BANK ACCOUNT WINDOW 
		Mon Sep 03 23:18:59 2018

	ON TRANSACTION DETAIL WINDOW 
		Mon Sep 03 23:19:01 2018

	ON BANK ACCOUNT WINDOW 
		Mon Sep 03 23:19:05 2018

	ON THE MAIN SCRREN
		Mon Sep 03 23:19:11 2018

	ON THE MAIN SCRREN
		Mon Sep 03 23:19:33 2018

	ON THE ADMIN PORTAL
		Mon Sep 03 23:19:34 2018

	LOGINED IN THE ADMIN PORTAL
		Mon Sep 03 23:19:40 2018

	ON BANK ACCOUNT WINDOW 
		Mon Sep 03 23:19:41 2018

	DEPOSITED MONEY IN THE ACCOUNT
		Mon Sep 03 23:19:42 2018

	ON BANK ACCOUNT WINDOW 
		Mon Sep 03 23:19:45 2018

	ON THE ACCOUNT DETAILS WINDOW
		Mon Sep 03 23:19:45 2018

	ON BANK ACCOUNT WINDOW 
		Mon Sep 03 23:19:46 2018

	ON TRANSACTION DETAIL WINDOW 
		Mon Sep 03 23:19:48 2018

	ON BANK ACCOUNT WINDOW 
		Mon Sep 03 23:19:50 2018

	ON THE MAIN SCRREN
		Mon Sep 03 23:19:54 2018

	ON THE MAIN SCRREN
		Mon Sep 03 23:22:22 2018

	ON THE ADMIN PORTAL
		Mon Sep 03 23:22:23 2018

	FAILED ATTEMPT IN ADMIN PORTAL
		Mon Sep 03 23:22:26 2018

	ON THE MAIN SCRREN
		Mon Sep 03 23:22:27 2018

	ON THE ADMIN PORTAL
		Mon Sep 03 23:22:29 2018

	LOGINED IN THE ADMIN PORTAL
		Mon Sep 03 23:22:35 2018

